Depth;Age
306.5;3139.893
307;3142.312
307.5;3144.73
308;3147.148
308.5;3149.567
309;3151.985
309.5;3154.403
310;3156.822
310.5;3159.959
311;3163.097
311.5;3166.234
312;3169.372
312.5;3172.509
313;3175.647
313.5;3178.784
314;3181.922
314.5;3185.059
315;3188.197
315.5;3191.334
316;3194.472
316.5;3197.609
317;3200.747
317.5;3203.884
318;3207.022
318.5;3210.159
319;3213.297
319.5;3216.434
320;3219.572
320.5;3224.968
321;3230.363
321.5;3235.758
