Depth;ProjArea;StraightLength;StraightWidth;WLRatio
5.5;0.011;0.1626;0.1009;0.620541205
5.5;0.0014;0.0528;0.0326;0.617424242
5.5;0.0975;0.7934;0.1752;0.22082178
5.5;0.0336;0.4489;0.1141;0.254176877
5.5;0.0342;0.3206;0.1353;0.42202121
5.5;0.0146;0.1647;0.1372;0.833029751
5.5;0.0537;0.6833;0.1257;0.183960193
5.5;0.0111;0.2778;0.0885;0.318574514
5.5;0.0442;0.3024;0.2429;0.803240741
5.5;0.0023;0.1288;0.0231;0.179347826
5.5;0.0316;0.6283;0.0595;0.094699984
5.5;0.0696;0.4454;0.2236;0.502020656
5.5;0.0017;0.0584;0.0354;0.606164384
5.5;0.0333;0.5795;0.0736;0.12700604
5.5;0.0713;0.8849;0.112;0.126567974
5.5;0.0431;0.6283;0.0795;0.126531912
5.5;0.0419;0.4321;0.1236;0.286044897
5.5;0.0139;0.1829;0.0977;0.534171679
5.5;0.0011;0.0595;0.028;0.470588235
5.5;0.0051;0.2176;0.0358;0.164522059
5.5;0.0031;0.1664;0.028;0.168269231
5.5;0.0458;0.5832;0.1126;0.193072702
5.5;0.0008;0.0551;0.0177;0.32123412
5.5;0.0551;0.6245;0.1119;0.179183347
5.5;0.0825;0.845;0.1321;0.156331361
5.5;0.0826;0.7068;0.1301;0.184069044
5.5;0.0965;0.6994;0.186;0.265942236
5.5;0.0277;0.3357;0.1276;0.380101281
5.5;0.0149;0.3553;0.0847;0.238390093
5.5;0.0064;0.1902;0.0528;0.277602524
5.5;0.0059;0.1827;0.0437;0.239189929
5.5;0.085;0.5232;0.2458;0.469801223
5.5;0.0791;0.5037;0.2239;0.444510621
5.5;0.033;0.5159;0.0876;0.169800349
5.5;0.0748;0.6212;0.1603;0.258048938
5.5;0.0436;0.3755;0.1602;0.426631158
5.5;0.1544;1.0008;0.1954;0.195243805
5.5;0.0028;0.0923;0.0407;0.440953413
5.5;0.0179;0.3228;0.0931;0.288413879
5.5;0.0009;0.056;0.0202;0.360714286
5.5;0.0033;0.1001;0.0426;0.425574426
5.5;0.0022;0.0923;0.034;0.36836403
5.5;0.006;0.1032;0.0753;0.729651163
5.5;0.0309;0.6139;0.0595;0.096921323
6.5;0.0504;0.4389;0.1591;0.362497152
6.5;0.0563;0.9214;0.0801;0.086932928
6.5;0.0878;0.6347;0.1702;0.268158185
6.5;0.0139;0.3805;0.0576;0.151379763
6.5;0.0246;0.5525;0.0683;0.12361991
6.5;0.3952;1.8822;0.2596;0.137923706
6.5;0.0022;0.1205;0.025;0.20746888
6.5;0.0655;0.661;0.1623;0.245537065
6.5;0.0302;0.2552;0.1512;0.592476489
6.5;0.0449;0.6837;0.1021;0.149334503
6.5;0.0294;0.2878;0.1427;0.495830438
6.5;0.0456;0.2818;0.2256;0.800567779
6.5;0.0116;0.3221;0.0626;0.194349581
6.5;0.0102;0.3618;0.0516;0.142620232
6.5;0.0794;0.4091;0.3644;0.890735761
6.5;0.1168;0.492;0.3505;0.712398374
6.5;0.0388;0.7792;0.073;0.093685832
6.5;0.1025;0.4389;0.3575;0.814536341
6.5;0.1171;0.6101;0.277;0.454023931
6.5;0.0211;0.3666;0.0777;0.211947627
6.5;0.1659;0.5844;0.4414;0.755304586
6.5;0.0449;0.4906;0.1503;0.30635956
6.5;0.0044;0.1001;0.0626;0.625374625
6.5;0.0207;0.6979;0.0407;0.058317811
6.5;0.0033;0.1032;0.0407;0.394379845
6.5;0.0572;0.4152;0.1835;0.441955684
6.5;0.0234;0.564;0.0801;0.142021277
6.5;0.0873;1.0433;0.1227;0.117607591
6.5;0.0071;0.1888;0.0516;0.273305085
7.5;0.0515;0.303;0.2528;0.834323432
7.5;0.0204;0.3054;0.0958;0.313686968
7.5;0.0491;0.5274;0.1311;0.248577929
7.5;0.1487;0.8237;0.2199;0.266966128
7.5;0.0925;0.4614;0.3303;0.715864759
7.5;0.0901;1.1694;0.0953;0.081494784
7.5;0.0325;0.3079;0.1292;0.419616759
7.5;0.1199;0.6459;0.2637;0.408267534
7.5;0.1151;0.6496;0.198;0.304802956
7.5;0.0125;0.5168;0.0426;0.082430341
7.5;0.0579;0.5116;0.1906;0.372556685
7.5;0.0332;0.5703;0.0869;0.152375942
7.5;0.0269;0.4007;0.1041;0.259795358
7.5;0.0709;0.3585;0.2682;0.748117155
7.5;0.003;0.0727;0.05;0.687757909
7.5;0.0289;0.2612;0.1306;0.5
7.5;0.0073;0.2106;0.0478;0.22697056
7.5;0.0037;0.095;0.0554;0.583157895
7.5;0.0301;0.3415;0.1239;0.362811127
7.5;0.016;0.2729;0.0761;0.278856724
7.5;0.0435;0.458;0.1301;0.284061135
7.5;0.0745;0.3716;0.2707;0.728471475
7.5;0.0646;0.8583;0.1427;0.166258884
8.5;0.0601;0.3413;0.2733;0.800761793
8.5;0.0792;0.7407;0.1403;0.189415418
8.5;0.0839;0.4795;0.2689;0.560792492
8.5;0.0025;0.0736;0.0451;0.612771739
8.5;0.2424;0.9995;0.319;0.31915958
8.5;0.0669;0.4259;0.2392;0.561634186
8.5;0.011;0.2523;0.0562;0.222750694
8.5;0.0022;0.0626;0.0426;0.680511182
8.5;0.1151;0.6555;0.2635;0.401983219
8.5;0.0405;0.3578;0.2202;0.615427613
8.5;0.0292;0.2483;0.1561;0.62867499
8.5;0.0491;0.3505;0.22;0.62767475
8.5;0.0529;0.4291;0.2118;0.493591237
8.5;0.0097;0.1664;0.0885;0.531850962
8.5;0.0142;0.1629;0.1168;0.717004297
8.5;0.0041;0.1009;0.0603;0.597621407
8.5;0.0336;0.3054;0.1326;0.434184676
8.5;0.0473;0.5237;0.1115;0.212908154
8.5;0.0151;0.4724;0.0426;0.090177815
8.5;0.0194;0.5067;0.0576;0.113676732
8.5;0.0534;0.6229;0.1208;0.19393161
8.5;0.0366;0.2853;0.1657;0.580792149
8.5;0.1362;1.6395;0.0966;0.058920403
8.5;0.0176;0.4304;0.0638;0.148234201
8.5;0.0011;0.0562;0.0285;0.507117438
8.5;0.0013;0.0801;0.0231;0.288389513
8.5;0.0718;0.4055;0.2027;0.499876695
8.5;0.0022;0.0885;0.0354;0.4
8.5;0.0025;0.0874;0.0358;0.409610984
8.5;0.0779;0.5316;0.1705;0.320729872
8.5;0.0079;0.1584;0.0979;0.618055556
8.5;0.0291;0.3498;0.1069;0.305603202
8.5;0.011;0.5376;0.0285;0.053013393
8.5;0.0469;0.3081;0.263;0.853618955
8.5;0.062;0.5261;0.187;0.355445733
8.5;0.3544;1.6468;0.3049;0.185146952
8.5;0.0694;0.4115;0.2689;0.65346294
8.5;0.0013;0.0531;0.0354;0.666666667
8.5;0.0604;0.6327;0.1153;0.182234866
8.5;0.0829;0.4063;0.3146;0.774304701
8.5;0.1489;1.6202;0.1412;0.087149735
8.5;0.0775;0.7016;0.1515;0.215935006
8.5;0.0047;0.118;0.0576;0.488135593
8.5;0.0188;0.4253;0.073;0.171643546
8.5;0.0233;0.2932;0.119;0.405866303
8.5;0.0153;0.4073;0.0516;0.126687945
8.5;0.0348;0.5772;0.0801;0.138773389
8.5;0.037;0.5469;0.0923;0.168769428
9.5;0.1233;0.9874;0.1954;0.197893458
9.5;0.0477;0.3539;0.187;0.528397853
9.5;0.0221;0.4421;0.0674;0.152454196
9.5;0.0491;0.3253;0.23;0.707039656
9.5;0.0696;0.5407;0.186;0.34399852
9.5;0.0557;0.4991;0.1487;0.297936285
9.5;0.0642;0.3523;0.2375;0.674141357
9.5;0.0332;0.8142;0.0571;0.070130189
9.5;0.095;0.7619;0.1528;0.200551253
9.5;0.0019;0.0876;0.0326;0.372146119
9.5;0.0178;0.461;0.0562;0.121908894
9.5;0.0559;0.363;0.2329;0.641597796
9.5;0.1992;0.576;0.4886;0.848263889
9.5;0.066;1.3243;0.073;0.055123461
9.5;0.0239;0.2829;0.1102;0.389536939
9.5;0.0806;0.7641;0.143;0.187148279
9.5;0.0167;0.2782;0.0938;0.337167505
9.5;0.0036;0.1086;0.0683;0.628913444
9.5;0.0673;0.4055;0.2353;0.58027127
9.5;0.0563;0.5487;0.1317;0.24002187
9.5;0.076;0.3982;0.276;0.693119036
9.5;0.0231;0.4687;0.0777;0.165777683
9.5;0.0905;0.5682;0.2228;0.392115452
9.5;0.0452;0.2856;0.2173;0.760854342
10.5;0.0582;0.468;0.1827;0.390384615
10.5;0.0289;0.2429;0.1916;0.788801976
10.5;0.0104;0.2641;0.056;0.212040894
10.5;0.0173;0.3648;0.0551;0.151041667
10.5;0.0139;0.3081;0.0653;0.211944174
10.5;0.1259;1.1329;0.1412;0.12463589
10.5;0.0538;0.3253;0.2678;0.823240086
10.5;0.0022;0.0918;0.0358;0.389978214
10.5;0.0151;0.1823;0.1415;0.776193088
10.5;0.0023;0.0571;0.0516;0.903677758
10.5;0.0057;0.1262;0.0681;0.539619651
10.5;0.003;0.1576;0.0231;0.146573604
10.5;0.0258;0.2272;0.1791;0.788292254
10.5;0.0099;0.3787;0.0375;0.099022973
10.5;0.0027;0.0692;0.0571;0.825144509
10.5;0.034;0.372;0.1399;0.376075269
10.5;0.063;0.3589;0.2735;0.762050711
10.5;0.0591;0.6916;0.1041;0.150520532
10.5;0.0491;0.3079;0.207;0.6722962
