Site;Depth;ProjArea;StraightLength;StraightWidth;WLRatio
AZL;11;0.0366;0.6809;0.0733;0.1077
AZL;11;0.0385;0.928;0.0614;0.0662
AZL;11;0.0396;0.5539;0.1142;0.2062
AZL;11;0.0399;1.0247;0.0554;0.0541
AZL;11;0.0491;0.6718;0.1026;0.1527
AZL;11;0.0508;0.7645;0.1164;0.1523
AZL;11;0.0845;1.2295;0.1206;0.0981
AZL;11;0.0929;0.8653;0.2584;0.2986
AZL;11;0.1158;0.6269;0.2776;0.4428
AZL;11;0.1532;1.7228;0.1099;0.0638
AZL;11;0.1568;2.3818;0.0973;0.0409
AZL;11;0.1999;0.7778;0.2896;0.3723
AZL;11;0.4084;2.4447;0.2357;0.0964
AZL;12;0.0094;0.147;0.0921;0.6265
AZL;12;0.0124;0.3307;0.0649;0.1963
AZL;12;0.0148;0.615;0.0365;0.0593
AZL;12;0.0221;0.7181;0.0516;0.0719
AZL;12;0.0272;0.5196;0.1085;0.2088
AZL;12;0.053;0.5018;0.1657;0.3302
AZL;12;0.0545;0.8821;0.0804;0.0911
AZL;12;0.0578;1.0847;0.0805;0.0742
AZL;12;0.0596;1.0251;0.1272;0.1241
AZL;12;0.0798;0.5954;0.1931;0.3243
AZL;12;0.08;0.7673;0.1457;0.1899
AZL;12;0.0874;1.144;0.1331;0.1163
AZL;12;0.1123;1.24;0.1239;0.0999
AZL;12;0.1491;1.3392;0.3071;0.2293
AZL;12;0.1588;0.9262;0.4355;0.4702
AZL;12;0.4135;1.6205;0.2967;0.1831
AZL;13;0.0138;0.371;0.0593;0.1598
AZL;13;0.0173;0.558;0.0457;0.0819
AZL;13;0.0175;0.5147;0.0517;0.1004
AZL;13;0.0202;0.4099;0.0686;0.1674
AZL;13;0.0212;0.6358;0.0484;0.0761
AZL;13;0.0224;0.4418;0.0816;0.1847
AZL;13;0.0239;0.6926;0.0514;0.0742
AZL;13;0.0241;0.6118;0.0538;0.0879
AZL;13;0.0261;0.6841;0.0816;0.1193
AZL;13;0.0419;0.3449;0.2639;0.7651
AZL;13;0.0438;0.6108;0.1106;0.1811
AZL;13;0.0519;1.1693;0.0629;0.0538
AZL;13;0.0546;0.7826;0.0912;0.1165
AZL;13;0.0595;0.6176;0.1363;0.2207
AZL;13;0.0736;0.8363;0.1031;0.1233
AZL;13;0.0761;0.6923;0.1409;0.2035
AZL;13;0.0778;0.9015;0.1294;0.1435
AZL;13;0.0867;0.7698;0.1397;0.1815
AZL;13;0.0934;1.2198;0.1352;0.1108
AZL;13;0.1154;1.0004;0.1419;0.1418
AZL;14;0.0187;0.6411;0.0458;0.0714
AZL;14;0.035;0.6961;0.0918;0.1319
AZL;14;0.0357;0.4826;0.1031;0.2136
AZL;14;0.0492;1.1472;0.0602;0.0525
AZL;14;0.0492;1.4403;0.0646;0.0449
AZL;14;0.0946;0.8959;0.1287;0.1437
AZL;14;0.1453;1.2129;0.165;0.1360
AZL;14;0.177;1.8875;0.1233;0.0653
AZL;15;0.0129;0.3855;0.0517;0.1341
AZL;15;0.0209;0.6394;0.0385;0.0602
AZL;15;0.0495;1.0522;0.0807;0.0767
AZL;15;0.0506;0.9689;0.0723;0.0746
AZL;15;0.0582;1.1211;0.1166;0.1040
AZL;15;0.0635;0.9234;0.1292;0.1399
