"Depth","Age","Counts","Concentration","AreaConcentration","meanWL","Prop.WL.gt.0.5","P_W_lower","P_W","P_W_upper","P_H_lower","P_H","P_H_upper"
36.5,440.739,35,70,2.1638,0.197224627771429,0.0285714285714286,0.0464127991052153,0.0657225941774937,0.0856981155721507,0.914301884427849,0.934277405822506,0.953587200894785
37.5,469.692,34,68,3.4802,0.220518327676471,0.117647058823529,0.0198474713645432,0.0404258798934483,0.0627870058534219,0.937212994146578,0.959574120106552,0.980152528635457
38.5,498.646,43,86,4.281,0.240842275186047,0.0697674418604651,0.016411390172811,0.039350720860312,0.0650549699810031,0.934945030018997,0.960649279139688,0.983588609827189
39.5,527.6,14,28,1.153,0.189455958857143,0,0,0.0157872858378413,0.0428291721599737,0.957170827840026,0.984212714162159,1
40.5,555.963,31,62,1.9056,0.220373634129032,0.0645161290322581,0,0.00151513796198416,0.0291264602508534,0.970873539749147,0.998484862038016,1
41.5,583.735,36,72,2.309,0.256313999666667,0.0555555555555556,0.0214907882644756,0.0462088164959629,0.0715963188135997,0.9284036811864,0.953791183504037,0.978509211735524
42.5,611.507,74,148,4.7164,0.266960932472973,0.108108108108108,0.067306358259498,0.0893698694610255,0.113906000708781,0.886093999291219,0.910630130538974,0.932693641740502
43.5,639.279,52,104,3.5554,0.239040177384615,0.115384615384615,0.0767421831832796,0.096921140703402,0.117769224501274,0.882230775498726,0.903078859296598,0.92325781681672
44.5,667.051,83,166,6.1642,0.214849753325301,0.036144578313253,0,0.0144815593270024,0.0304824898131372,0.969517510186863,0.985518440672998,1
45.5,694.823,65,130,5.0228,0.237779658584615,0.0769230769230769,0.0160769411371066,0.0377857672897263,0.0529369032091384,0.947063096790862,0.962214232710274,0.983923058862893
46.5,722.595,58,116,5.1682,0.200546801965517,0.0517241379310345,0.0164491199911863,0.0416112811369573,0.0566797506160939,0.943320249383906,0.958388718863043,0.983550880008814
47.5,750.367,68,136,5.586,0.205032774132353,0.0882352941176471,0.0616495249763843,0.0881911225193551,0.105779117809362,0.894220882190638,0.911808877480645,0.938350475023616
48.5,778.139,35,70,3.6786,0.273568325571429,0.142857142857143,0.0969037878763288,0.124742451246866,0.146607926786895,0.853392073213105,0.875257548753134,0.903096212123671
49.5,805.911,50,100,5.1334,0.24633608992,0.12,0.0843398592218082,0.112903457914059,0.133805412587222,0.866194587412778,0.887096542085941,0.915660140778192
50.5,832.507,67,134,9.4032,0.246452764343284,0.104477611940299,0.0757188149725013,0.104273033006403,0.124182946684256,0.875817053315744,0.895726966993597,0.924281185027499
51.5,857.926,40,80,1.747,0.27752712685,0.175,0.0664711341716984,0.0936926324423022,0.111414107670553,0.888585892329448,0.906307367557698,0.933528865828302
52.5,883.345,59,118,4.4678,0.174575937949153,0.0338983050847458,0.0918295242662062,0.11571385263608,0.134566216272394,0.865433783727606,0.88428614736392,0.908170475733794
53.5,908.764,19,38,1.778,0.285036930052632,0.263157894736842,0.146631839070614,0.169385165807195,0.191592540855032,0.808407459144968,0.830614834192805,0.853368160929386
54.5,934.183,15,30,1.4652,0.2958213896,0.266666666666667,0.205608204282813,0.231512302524484,0.258256231939018,0.741743768060982,0.768487697475516,0.794391795717187
55.5,959.602,8,16,1.4536,0.31978668125,0.25,0.256740429323679,0.287413260267501,0.321111314868063,0.678888685131937,0.712586739732499,0.743259570676321
56.5,985.021,16,32,1.6102,0.3285653028125,0.3125,0.241945845092903,0.274785671916718,0.311709500242237,0.688290499757763,0.725214328083282,0.758054154907097
57.5,1010.441,15,30,1.202,0.213276526733333,0.0666666666666667,0.197735576151031,0.229570066230331,0.267165946686748,0.732834053313252,0.770429933769669,0.802264423848969
58.5,1035.86,15,30,0.7632,0.234113798866667,0.0666666666666667,0.147984792837481,0.181105337811237,0.214300884546074,0.785699115453926,0.818894662188763,0.852015207162519
59.5,1061.279,12,24,1.6096,0.17399463625,0.0833333333333333,0.112321982203768,0.147879309913985,0.177951107281863,0.822048892718137,0.852120690086015,0.887678017796232
60.5,1081.47,7,14,0.8554,0.335604173714286,0.285714285714286,0.10973091214208,0.145643305079949,0.175248188389713,0.824751811610287,0.854356694920051,0.89026908785792
61.5,1096.433,5,10,1.8774,0.1430014156,0,0.123438189003848,0.157943507798472,0.187631376546727,0.812368623453273,0.842056492201528,0.876561810996152
62.5,1111.396,7,14,1.0304,0.325400550714286,0.142857142857143,0.14514722551832,0.177542032805747,0.206477393927456,0.793522606072544,0.822457967194253,0.85485277448168
63.5,1126.359,2,4,0.192,0.3098923855,0,0.17093332830511,0.200723635744695,0.228862010483619,0.771137989516381,0.799276364255305,0.82906667169489
64.5,1141.322,6,12,0.5054,0.433416259166667,0.5,0.193511403702952,0.223693489809966,0.253690749314752,0.746309250685248,0.776306510190033,0.806488596297048
65.5,1156.285,5,10,0.6836,0.2267207256,0,0.211720911672541,0.243231180552326,0.276297330709223,0.723702669290777,0.756768819447674,0.788279088327459
66.5,1171.248,6,12,0.8738,0.308358031166667,0.166666666666667,0.217617430816749,0.254494338103153,0.29260777139431,0.70739222860569,0.745505661896847,0.782382569183251
67.5,1186.211,5,10,0.4696,0.3174057458,0.2,0.21567852342513,0.257372910670482,0.299595949656405,0.700404050343595,0.742627089329518,0.78432147657487
