"Site","Depth","ProjArea","StraightLength","StraightWidth","WLRatio","Volume","Age","keep"
"AZL",13,0.0438,0.6108,0.1106,0.1811,1,1990.926,TRUE
"AZL",13,0.0519,1.1693,0.0629,0.0538,1,1990.926,TRUE
"AZL",13,0.0546,0.7826,0.0912,0.1165,1,1990.926,TRUE
"AZL",13,0.0595,0.6176,0.1363,0.2207,1,1990.926,TRUE
"AZL",13,0.0736,0.8363,0.1031,0.1233,1,1990.926,TRUE
"AZL",13,0.0761,0.6923,0.1409,0.2035,1,1990.926,TRUE
"AZL",13,0.0778,0.9015,0.1294,0.1435,1,1990.926,TRUE
"AZL",13,0.0867,0.7698,0.1397,0.1815,1,1990.926,TRUE
"AZL",13,0.0934,1.2198,0.1352,0.1108,1,1990.926,TRUE
"AZL",13,0.1154,1.0004,0.1419,0.1418,1,1990.926,TRUE
"BOC",0,0.0018,0.1061,0.0212,0.1998,1,2020.9,TRUE
"BOC",0,0.0026,0.1042,0.0357,0.3426,1,2020.9,TRUE
"BOC",0,0.0028,0.1002,0.0415,0.4142,1,2020.9,TRUE
"BOC",0,0.003,0.1229,0.037,0.3011,1,2020.9,TRUE
"BOC",0,0.003,0.111,0.0353,0.318,1,2020.9,TRUE
"BOC",0,0.0039,0.1024,0.05,0.4883,1,2020.9,TRUE
"BOC",0,0.0042,0.1106,0.0511,0.462,1,2020.9,TRUE
"BOC",0,0.0042,0.1336,0.0409,0.3061,1,2020.9,TRUE
"BOC",0,0.0047,0.1221,0.0513,0.4201,1,2020.9,TRUE
"BOC",0,0.0051,0.1046,0.0693,0.6625,1,2020.9,TRUE
"BOC",0,0.0051,0.1229,0.0516,0.4199,1,2020.9,TRUE
"BOC",0,0.0052,0.1668,0.0438,0.2626,1,2020.9,TRUE
"BOC",0,0.0054,0.1547,0.043,0.278,1,2020.9,TRUE
"BOC",0,0.0057,0.1147,0.0784,0.6835,1,2020.9,TRUE
"BOC",0,0.0058,0.1645,0.0465,0.2827,1,2020.9,TRUE
"BOC",0,0.0064,0.1141,0.0805,0.7055,1,2020.9,TRUE
"BOC",0,0.0065,0.1872,0.0499,0.2666,1,2020.9,TRUE
"BOC",0,0.0069,0.1256,0.0794,0.6322,1,2020.9,TRUE
"BOC",0,0.0072,0.1368,0.079,0.5775,1,2020.9,TRUE
"BOC",0,0.0073,0.3459,0.0289,0.0836,1,2020.9,TRUE
"BOC",0,0.0074,0.2915,0.0396,0.1358,1,2020.9,TRUE
"BOC",0,0.0078,0.233,0.0396,0.17,1,2020.9,TRUE
"BOC",0,0.0081,0.2266,0.0464,0.2048,1,2020.9,TRUE
"BOC",0,0.0087,0.1484,0.0888,0.5984,1,2020.9,TRUE
"BOC",0,0.0087,0.1658,0.0693,0.418,1,2020.9,TRUE
"BOC",0,0.0087,0.1711,0.064,0.3741,1,2020.9,TRUE
"BOC",0,0.0093,0.1783,0.0715,0.401,1,2020.9,TRUE
"BOC",0,0.0098,0.2287,0.056,0.2449,1,2020.9,TRUE
"BOC",0,0.0098,0.2613,0.0456,0.1745,1,2020.9,TRUE
"BOC",0,0.0108,0.2163,0.0705,0.3259,1,2020.9,TRUE
"BOC",0,0.0114,0.2271,0.0757,0.3333,1,2020.9,TRUE
"BOC",0,0.0122,0.1668,0.1055,0.6325,1,2020.9,TRUE
"BOC",0,0.0126,0.2297,0.0766,0.3335,1,2020.9,TRUE
"BOC",0,0.0127,0.2005,0.0826,0.412,1,2020.9,TRUE
"BOC",0,0.0132,0.2039,0.0757,0.3713,1,2020.9,TRUE
"BOC",0,0.0144,0.19,0.1221,0.6426,1,2020.9,TRUE
"BOC",0,0.0146,0.1934,0.1367,0.7068,1,2020.9,TRUE
"BOC",0,0.015,0.238,0.092,0.3866,1,2020.9,TRUE
"BOC",0,0.0153,0.2312,0.0974,0.4213,1,2020.9,TRUE
"BOC",0,0.0158,0.1824,0.1241,0.6804,1,2020.9,TRUE
"BOC",0,0.0165,0.2121,0.1033,0.487,1,2020.9,TRUE
"BOC",0,0.0165,0.2234,0.0949,0.4248,1,2020.9,TRUE
"BOC",0,0.0172,0.2253,0.1017,0.4514,1,2020.9,TRUE
"BOC",0,0.0176,0.3033,0.0752,0.2479,1,2020.9,TRUE
"BOC",0,0.0184,0.2449,0.1305,0.5329,1,2020.9,TRUE
"BOC",0,0.0185,0.3579,0.0758,0.2118,1,2020.9,TRUE
"BOC",0,0.0185,0.1907,0.1455,0.763,1,2020.9,TRUE
"BOC",0,0.0193,0.3573,0.0784,0.2194,1,2020.9,TRUE
"BOC",0,0.0194,0.2972,0.0982,0.3304,1,2020.9,TRUE
"BOC",0,0.0199,0.2801,0.1115,0.3981,1,2020.9,TRUE
"BOC",0,0.0205,0.2081,0.1253,0.6021,1,2020.9,TRUE
"BOC",0,0.0209,0.3101,0.0887,0.286,1,2020.9,TRUE
"BOC",0,0.0209,0.3971,0.0792,0.1994,1,2020.9,TRUE
"BOC",0,0.0213,0.2881,0.0948,0.3291,1,2020.9,TRUE
"BOC",0,0.0213,0.2713,0.0988,0.3642,1,2020.9,TRUE
"BOC",0,0.0213,0.4583,0.06,0.1309,1,2020.9,TRUE
"BOC",0,0.0216,0.232,0.1747,0.753,1,2020.9,TRUE
"BOC",0,0.0221,0.3209,0.0844,0.263,1,2020.9,TRUE
"BOC",0,0.0222,0.2018,0.1604,0.7948,1,2020.9,TRUE
